seed,scenario_index,attack,intensity,condition,min_true_c,max_true_c,min_margin_to_sla_c,target_return_min,effective_attack_end_exclusive
42,8,freeze,high,fpr_crp,28.788808932021944,30.596083227287888,1.4039167727121118,0.0,144.0
42,8,freeze,high,mean,28.674528112453576,30.476476750487887,1.5235232495121132,0.0,144.0
42,8,freeze,high,oracle,28.743585261811663,30.476476750487887,1.5235232495121132,0.0,144.0
42,9,spike,low,fpr_crp,28.91619395133248,30.476823010001784,1.5231769899982162,0.0,144.0
42,9,spike,low,mean,27.944673949243388,30.476823010001784,1.5231769899982162,0.0,144.0
42,9,spike,low,oracle,28.833322867335337,30.63700438052364,1.3629956194763615,0.0,144.0
42,10,spike,high,fpr_crp,28.298061751169637,30.51642646573828,1.4835735342617191,18.0,144.0
42,10,spike,high,mean,26.915917925018675,30.538832651911516,1.461167348088484,9.0,144.0
42,10,spike,high,oracle,28.892028944350933,30.538832651911516,1.461167348088484,10.0,144.0
42,11,scaling,low,fpr_crp,28.885047573023773,30.73982196871679,1.2601780312832105,0.0,144.0
42,11,scaling,low,mean,28.59582770720673,30.498985174949453,1.5010148250505466,0.0,144.0
42,11,scaling,low,oracle,29.18260129563363,30.44725478085449,1.5527452191455104,0.0,144.0
42,12,scaling,high,fpr_crp,28.69159363998877,30.53204579572772,1.4679542042722815,0.0,144.0
42,12,scaling,high,mean,27.831666121176383,30.58639358910564,1.41360641089436,3.0,144.0
42,12,scaling,high,oracle,29.119283147617416,30.58639358910564,1.41360641089436,0.0,144.0
42,13,stuck,low,fpr_crp,29.32089611036235,30.49644348543181,1.5035565145681886,0.0,144.0
42,13,stuck,low,mean,28.29290814111869,31.58517323146801,0.4148267685319915,28.0,144.0
42,13,stuck,low,oracle,28.878911501034175,30.49644348543181,1.5035565145681886,0.0,144.0
42,14,stuck,high,fpr_crp,27.90657795021374,30.53459744430232,1.465402555697679,9.0,144.0
42,14,stuck,high,mean,26.764699477786117,30.450950482145544,1.5490495178544563,10.0,144.0
42,14,stuck,high,oracle,29.268268348775543,30.450950482145544,1.5490495178544563,6.0,144.0
