file,sha256,bytes,ticks
seed42_11_scaling_low_mean.ticks.csv,ab15e2a4d81a81dab16b43bda27fb92e1af4407bb8476cdce14a588add480f7a,56599,240
seed42_11_scaling_low_oracle.ticks.csv,9d1944f241ec24e06e69eced19344a7c92d446279c56ab182a94e95ad1436841,52735,240
seed42_12_scaling_high_fpr_crp.ticks.csv,7d8fa89600cf33c64bc15b7cf1a339610e8ec73bae02202c4338b8efc7a1e254,66890,240
seed42_12_scaling_high_mean.ticks.csv,fe002e7aef57b57d2ba50d6085be10f509b9382759e9ba199dac2b719d7da525,57649,240
seed42_12_scaling_high_oracle.ticks.csv,1c9511ffcd11deafdc37ced6eb653b1cb1a1aed3d498e3ee26be8de98444ff32,53641,240
seed42_13_stuck_low_fpr_crp.ticks.csv,cb3708aa6bc1d72ebcb16615c28cd754c87717c9a1009d8f035eddea3fba2b7f,65807,240
seed42_13_stuck_low_mean.ticks.csv,fc6eec05cbb8ad415105fc2ff61ca92eefe9f3d2572bec60d4c5b0a3dc8aebc6,56405,240
seed42_13_stuck_low_oracle.ticks.csv,90a0511242659e9ab801089813f517c78e579225af0673893507be5fe35aeef2,52498,240
seed42_14_stuck_high_fpr_crp.ticks.csv,db9b19342a3700fb251b717da1105f8fa7a2c467293a6abc7b23f2928c7f25ee,67272,240
seed42_14_stuck_high_mean.ticks.csv,e0d9c3839dc672b9df4e7c0d678beedca108a07fbf3e54717719248194aa605f,57097,240
seed42_14_stuck_high_oracle.ticks.csv,eb7a5e5c21c6f23c39a61388f26fef6c3a68660a64be4445f4d358898c30b970,52902,240
