scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed11_bias_0p1_noise0p1_s13_a0p2_b0p7,full,11,bias,0.1,0.1,13,0.2,0.7,1.5708333333333333,0.0,0.5001773429954126,0.725
full_seed11_bias_0p1_noise0p1_s5_a0p2_b0p7,full,11,bias,0.1,0.1,5,0.2,0.7,1.0416666666666667,0.9166666666666666,0.7763632359153718,0.04583333333333333
full_seed11_bias_0p1_noise0p1_s9_a0p2_b0p7,full,11,bias,0.1,0.1,9,0.2,0.7,1.6041666666666667,0.39166666666666666,0.7016776078461717,0.825
full_seed11_bias_0p1_noise0p25_s13_a0p2_b0p7,full,11,bias,0.1,0.25,13,0.2,0.7,1.8666666666666667,0.008333333333333333,0.5106094722634126,1.6666666666666667
full_seed11_bias_0p1_noise0p25_s5_a0p2_b0p7,full,11,bias,0.1,0.25,5,0.2,0.7,1.1333333333333333,0.7458333333333333,0.7536569764179276,0.15416666666666667
full_seed11_bias_0p1_noise0p25_s9_a0p2_b0p7,full,11,bias,0.1,0.25,9,0.2,0.7,1.7333333333333334,0.5125,0.7019967881509117,1.1416666666666666
full_seed11_bias_0p1_noise0p5_s13_a0p2_b0p7,full,11,bias,0.1,0.5,13,0.2,0.7,2.120833333333333,0.0875,0.5515727909931795,3.9166666666666665
full_seed11_bias_0p1_noise0p5_s5_a0p2_b0p7,full,11,bias,0.1,0.5,5,0.2,0.7,1.475,0.6375,0.7267091697501897,0.6
full_seed11_bias_0p1_noise0p5_s9_a0p2_b0p7,full,11,bias,0.1,0.5,9,0.2,0.7,1.9333333333333333,0.5333333333333333,0.7026523509694808,2.1958333333333333
full_seed11_bias_0p2_noise0p1_s13_a0p2_b0p7,full,11,bias,0.2,0.1,13,0.2,0.7,1.7583333333333333,0.016666666666666666,0.4932861864167088,1.5583333333333333
full_seed11_bias_0p2_noise0p1_s5_a0p2_b0p7,full,11,bias,0.2,0.1,5,0.2,0.7,1.4375,0.8958333333333334,0.7779650777628807,0.4708333333333333
full_seed11_bias_0p2_noise0p1_s9_a0p2_b0p7,full,11,bias,0.2,0.1,9,0.2,0.7,1.7083333333333333,0.3541666666666667,0.6804842375426993,1.1625
full_seed11_bias_0p2_noise0p25_s13_a0p2_b0p7,full,11,bias,0.2,0.25,13,0.2,0.7,2.0791666666666666,0.016666666666666666,0.4943313126812289,2.5
full_seed11_bias_0p2_noise0p25_s5_a0p2_b0p7,full,11,bias,0.2,0.25,5,0.2,0.7,1.4833333333333334,0.7666666666666667,0.7522827301620381,0.575
full_seed11_bias_0p2_noise0p25_s9_a0p2_b0p7,full,11,bias,0.2,0.25,9,0.2,0.7,1.8666666666666667,0.49583333333333335,0.6890417565095928,1.5666666666666667
full_seed11_bias_0p2_noise0p5_s13_a0p2_b0p7,full,11,bias,0.2,0.5,13,0.2,0.7,2.25,0.09166666666666666,0.5225046275441163,4.5375
full_seed11_bias_0p2_noise0p5_s5_a0p2_b0p7,full,11,bias,0.2,0.5,5,0.2,0.7,1.5791666666666666,0.5958333333333333,0.6894086536896197,0.7875
full_seed11_bias_0p2_noise0p5_s9_a0p2_b0p7,full,11,bias,0.2,0.5,9,0.2,0.7,2.0708333333333333,0.55,0.6959683432691322,2.625
