family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p2_b0p7,max_absolute_error,5.693539085285035,5.7009430224891045,0.0074039372040690665,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,mae,1.5972141553652213,1.6207506761947494,0.023536520829528174,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,rmse,1.8804081202435519,1.9061711041292988,0.025762983885746937,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,median_absolute_error,1.4562351070157438,1.490455710424453,0.03422060340870914,True
main_campaign,full_seed101_spike_0p4_noise0p25_s5_a0p3_b0p8,p95_absolute_error,3.57719533071889,3.5812002992261296,0.004004968507239415,True
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p2_b0p7,mae,2.0467451097848413,2.0344664850395318,-0.012278624745309497,True
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p2_b0p7,rmse,2.44836115009798,2.4320818995761027,-0.016279250521877398,True
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p3_b0p8,mae,1.6448373649060661,1.6329972302407378,-0.011840134665328295,True
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p3_b0p8,rmse,1.932562854545384,1.922626550881186,-0.009936303664197954,True
main_campaign,full_seed101_spike_0p4_noise0p5_s5_a0p3_b0p8,median_absolute_error,1.5261868228243163,1.5168668075724772,-0.00932001525183912,True
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p2_b0p7,mae,2.291906548441589,2.2924787385662038,0.0005721901246147354,False
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.4573554625221856,2.458269133236873,0.0009136707146875089,True
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p3_b0p8,mae,1.9993343554707323,1.99962045053304,0.00028609506230758974,True
main_campaign,full_seed11_bias_0p3_noise0p25_s5_a0p3_b0p8,rmse,2.0912593101117434,2.0916869723463876,0.0004276622346441883,True
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p2_b0p7,mae,2.291906548441589,2.2924787385662038,0.0005721901246147354,False
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.4573554625221856,2.458269133236873,0.0009136707146875089,True
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p3_b0p8,mae,1.9993343554707323,1.99962045053304,0.00028609506230758974,True
main_campaign,full_seed11_bias_0p4_noise0p25_s5_a0p3_b0p8,rmse,2.0912593101117434,2.0916869723463876,0.0004276622346441883,True
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p2_b0p7,mae,1.9650023255342588,1.9655745156588735,0.0005721901246147354,True
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.0637977366569658,2.0646982246855052,0.0009004880285394812,True
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p3_b0p8,mae,1.9070219460191595,1.9073080410814671,0.00028609506230758974,False
main_campaign,full_seed11_drift_0p3_noise0p25_s5_a0p3_b0p8,rmse,1.9830271454912813,1.9834293906382776,0.0004022451469962718,False
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p2_b0p7,mae,1.9650023255342588,1.9655745156588735,0.0005721901246147354,True
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.0637977366569658,2.0646982246855052,0.0009004880285394812,True
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p3_b0p8,mae,1.9070219460191595,1.9073080410814671,0.00028609506230758974,False
main_campaign,full_seed11_drift_0p4_noise0p25_s5_a0p3_b0p8,rmse,1.9830271454912813,1.9834293906382776,0.0004022451469962718,False
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p2_b0p7,mae,2.009641315672927,2.0103214029104794,0.000680087237552307,False
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.210138514406336,2.2118036625681397,0.0016651481618037423,True
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.331804517850538,5.495025454863124,0.16322093701258567,True
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p3_b0p8,mae,1.8460203888573794,1.8463604324761558,0.00034004361877637557,False
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p3_b0p8,rmse,1.9747468686273097,1.975432509673655,0.0006856410463451645,False
