scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,fpr_owa,1.6740815376245135,1.7484949178543567,1.5876695195774304,2.4759125240650213,2.774723130858848,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p2_b0p7,101,bias,0.1,0.5,9,0.2,crp,1.6956406818276275,1.7748936264379815,1.630037515286001,2.5722174246758733,2.7704657387066534,0.7
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,fpr_owa,1.7002527703064454,1.7793274287900822,1.6326205385463677,2.60260037386507,2.899386382569466,0.8
full_seed101_bias_0p1_noise0p5_s9_a0p3_b0p8,101,bias,0.1,0.5,9,0.3,crp,1.6995474376448236,1.784646224228048,1.6191030876108847,2.610265449817572,2.9735718573811485,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,fpr_owa,0.9798105620883404,1.0403060853043713,0.8891274085871712,1.5976442639919717,1.7056900502596406,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p2_b0p7,101,bias,0.2,0.1,13,0.2,crp,0.9622242783505196,1.0293794383740913,0.8891274085871712,1.5976442639919717,1.7056900502596406,0.7
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,fpr_owa,1.145571566714465,1.247681749391894,1.0099968070706522,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p2_noise0p1_s13_a0p3_b0p8,101,bias,0.2,0.1,13,0.3,crp,1.1204272787756906,1.236944067445219,1.0207258561967385,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,fpr_owa,1.7137869759559945,1.7795393424278434,1.6009027411088603,2.4449080454817262,2.605168287783102,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p2_b0p7,101,bias,0.2,0.1,5,0.2,crp,1.7392417212044196,1.812358431028568,1.6454078207894698,2.448961580022126,2.650399534457988,0.7
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,fpr_owa,1.7465013778979313,1.815729063950368,1.646020178650197,2.4769472000329715,2.5855766739862327,0.8
full_seed101_bias_0p2_noise0p1_s5_a0p3_b0p8,101,bias,0.2,0.1,5,0.3,crp,1.7514217087249802,1.8287405093194171,1.6550416754652488,2.496660382787619,2.6558838911992244,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,fpr_owa,1.6229969839786564,1.6731800006743869,1.5098584284162573,2.3802103808800967,2.504841460449386,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p2_b0p7,101,bias,0.2,0.1,9,0.2,crp,1.6606562291045477,1.710022809623018,1.560201312550332,2.3832704477958364,2.504841460449386,0.7
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,fpr_owa,1.666878832051958,1.729147550283599,1.5638040939910431,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p2_noise0p1_s9_a0p3_b0p8,101,bias,0.2,0.1,9,0.3,crp,1.6846564607260934,1.749548609329445,1.5820205063562802,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,fpr_owa,1.002751431652364,1.0771860368329285,0.925067235325392,1.7598419083712806,1.93807001433504,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p2_b0p7,101,bias,0.2,0.25,13,0.2,crp,1.003134728018011,1.0838889645093963,0.9405900605343662,1.7524638013672085,1.9895077096931049,0.7
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,fpr_owa,1.138027277995512,1.2464620970861282,0.9999972206977612,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p2_noise0p25_s13_a0p3_b0p8,101,bias,0.2,0.25,13,0.3,crp,1.1312272889379889,1.248007244401901,1.0268996084915385,2.136763797702655,2.348715633380049,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,fpr_owa,1.693356201101288,1.7643673400350972,1.5924318401393318,2.4945243726440607,2.713322161879084,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p2_b0p7,101,bias,0.2,0.25,5,0.2,crp,1.7120215678405173,1.7880223708484215,1.6497443596420331,2.505797296796862,2.713322161879084,0.7
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,fpr_owa,1.7268151803120182,1.8003055069833422,1.6325889233925834,2.533361552251704,2.767724316695624,0.8
full_seed101_bias_0p2_noise0p25_s5_a0p3_b0p8,101,bias,0.2,0.25,5,0.3,crp,1.7266155689479452,1.805730875100149,1.6441474643535716,2.552725077352428,2.767724316695624,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,fpr_owa,1.624887379113754,1.6896756969515827,1.5147816129314686,2.4324882517854496,3.0701399908280944,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p2_b0p7,101,bias,0.2,0.25,9,0.2,crp,1.659056885044736,1.7223907700786256,1.5664353799112547,2.4290730563367324,2.8692620738506607,0.7
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,fpr_owa,1.663161673497533,1.730350536258689,1.538752725886162,2.4317161055377188,2.741795684953831,0.8
full_seed101_bias_0p2_noise0p25_s9_a0p3_b0p8,101,bias,0.2,0.25,9,0.3,crp,1.6837263661925812,1.7544188550452933,1.5779000557140723,2.453025138276993,2.6939513619498787,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,fpr_owa,1.0745553698992794,1.1698901230622811,1.0294662004766575,1.8718843985509568,2.3691642861580315,0.7
