scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick,beta
full_seed101_drift_0p1_noise0p25_s13_a0p2_b0p7,101,drift,0.1,0.25,13,0.2,1.0083333333333333,0.525,0.7001345507921414,0.0083333333333333,0.7
full_seed101_drift_0p1_noise0p25_s13_a0p3_b0p8,101,drift,0.1,0.25,13,0.3,1.0083333333333333,0.525,0.7001345507921414,0.0083333333333333,0.8
full_seed101_drift_0p1_noise0p25_s5_a0p2_b0p7,101,drift,0.1,0.25,5,0.2,1.0,0.9958333333333332,0.867281571473503,0.0,0.7
full_seed101_drift_0p1_noise0p25_s5_a0p3_b0p8,101,drift,0.1,0.25,5,0.3,1.0,0.9958333333333332,0.867281571473503,0.0,0.8
full_seed101_drift_0p1_noise0p25_s9_a0p2_b0p7,101,drift,0.1,0.25,9,0.2,1.0,0.8916666666666667,0.7800745853477639,0.0,0.7
full_seed101_drift_0p1_noise0p25_s9_a0p3_b0p8,101,drift,0.1,0.25,9,0.3,1.0,0.8916666666666667,0.7800745853477639,0.0,0.8
full_seed101_drift_0p1_noise0p5_s13_a0p2_b0p7,101,drift,0.1,0.5,13,0.2,1.1208333333333331,0.3583333333333333,0.6730916883001875,0.125,0.7
full_seed101_drift_0p1_noise0p5_s13_a0p3_b0p8,101,drift,0.1,0.5,13,0.3,1.1208333333333331,0.3583333333333333,0.6730916883001875,0.125,0.8
full_seed101_drift_0p1_noise0p5_s5_a0p2_b0p7,101,drift,0.1,0.5,5,0.2,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.7
full_seed101_drift_0p1_noise0p5_s5_a0p3_b0p8,101,drift,0.1,0.5,5,0.3,1.0041666666666669,0.9625,0.8179292501741884,0.0041666666666666,0.8
full_seed101_drift_0p1_noise0p5_s9_a0p2_b0p7,101,drift,0.1,0.5,9,0.2,1.0541666666666667,0.7791666666666667,0.7484214831998647,0.0541666666666666,0.7
full_seed101_drift_0p1_noise0p5_s9_a0p3_b0p8,101,drift,0.1,0.5,9,0.3,1.0541666666666667,0.7791666666666667,0.7484214831998647,0.0541666666666666,0.8
full_seed101_drift_0p2_noise0p1_s13_a0p2_b0p7,101,drift,0.2,0.1,13,0.2,1.0083333333333333,0.4583333333333333,0.6880575359501736,0.0166666666666666,0.7
full_seed101_drift_0p2_noise0p1_s13_a0p3_b0p8,101,drift,0.2,0.1,13,0.3,1.0083333333333333,0.4583333333333333,0.6880575359501736,0.0166666666666666,0.8
full_seed101_drift_0p2_noise0p1_s5_a0p2_b0p7,101,drift,0.2,0.1,5,0.2,1.0,0.9208333333333332,0.8438839346948087,0.0,0.7
full_seed101_drift_0p2_noise0p1_s5_a0p3_b0p8,101,drift,0.2,0.1,5,0.3,1.0,0.9208333333333332,0.8438839346948087,0.0,0.8
full_seed101_drift_0p2_noise0p1_s9_a0p2_b0p7,101,drift,0.2,0.1,9,0.2,1.0,0.8416666666666667,0.7748827996129461,0.0,0.7
full_seed101_drift_0p2_noise0p1_s9_a0p3_b0p8,101,drift,0.2,0.1,9,0.3,1.0,0.8416666666666667,0.7748827996129461,0.0,0.8
full_seed101_drift_0p2_noise0p25_s13_a0p2_b0p7,101,drift,0.2,0.25,13,0.2,1.0083333333333333,0.4166666666666667,0.6743836207643396,0.0166666666666666,0.7
full_seed101_drift_0p2_noise0p25_s13_a0p3_b0p8,101,drift,0.2,0.25,13,0.3,1.0083333333333333,0.4166666666666667,0.6743836207643396,0.0166666666666666,0.8
full_seed101_drift_0p2_noise0p25_s5_a0p2_b0p7,101,drift,0.2,0.25,5,0.2,1.0,0.8958333333333334,0.828590303271252,0.0,0.7
full_seed101_drift_0p2_noise0p25_s5_a0p3_b0p8,101,drift,0.2,0.25,5,0.3,1.0,0.8958333333333334,0.828590303271252,0.0,0.8
full_seed101_drift_0p2_noise0p25_s9_a0p2_b0p7,101,drift,0.2,0.25,9,0.2,1.0,0.8416666666666667,0.7626812440183294,0.0,0.7
full_seed101_drift_0p2_noise0p25_s9_a0p3_b0p8,101,drift,0.2,0.25,9,0.3,1.0,0.8416666666666667,0.7626812440183294,0.0,0.8
full_seed101_drift_0p2_noise0p5_s13_a0p2_b0p7,101,drift,0.2,0.5,13,0.2,1.1375,0.3125,0.6492079797018896,0.1625,0.7
full_seed101_drift_0p2_noise0p5_s13_a0p3_b0p8,101,drift,0.2,0.5,13,0.3,1.1375,0.3125,0.6492079797018896,0.1625,0.8
full_seed101_drift_0p2_noise0p5_s5_a0p2_b0p7,101,drift,0.2,0.5,5,0.2,1.0125,0.8583333333333333,0.7881506327043096,0.0125,0.7
full_seed101_drift_0p2_noise0p5_s5_a0p3_b0p8,101,drift,0.2,0.5,5,0.3,1.0125,0.8583333333333333,0.7881506327043096,0.0125,0.8
full_seed101_drift_0p2_noise0p5_s9_a0p2_b0p7,101,drift,0.2,0.5,9,0.2,1.0666666666666669,0.7083333333333334,0.7340023917636245,0.0666666666666666,0.7
full_seed101_drift_0p2_noise0p5_s9_a0p3_b0p8,101,drift,0.2,0.5,9,0.3,1.0666666666666669,0.7083333333333334,0.7340023917636245,0.0666666666666666,0.8
full_seed101_drift_0p3_noise0p1_s13_a0p2_b0p7,101,drift,0.3,0.1,13,0.2,1.0083333333333333,0.4458333333333333,0.679051848185701,0.0208333333333333,0.7
full_seed101_drift_0p3_noise0p1_s13_a0p3_b0p8,101,drift,0.3,0.1,13,0.3,1.0083333333333333,0.4458333333333333,0.679051848185701,0.0208333333333333,0.8
full_seed101_drift_0p3_noise0p1_s5_a0p2_b0p7,101,drift,0.3,0.1,5,0.2,1.0,0.8416666666666667,0.8225147896419408,0.0,0.7
full_seed101_drift_0p3_noise0p1_s5_a0p3_b0p8,101,drift,0.3,0.1,5,0.3,1.0,0.8416666666666667,0.8225147896419408,0.0,0.8
full_seed101_drift_0p3_noise0p1_s9_a0p2_b0p7,101,drift,0.3,0.1,9,0.2,1.0,0.7916666666666666,0.7626372312236985,0.0,0.7
full_seed101_drift_0p3_noise0p1_s9_a0p3_b0p8,101,drift,0.3,0.1,9,0.3,1.0,0.7916666666666666,0.7626372312236985,0.0,0.8
full_seed101_drift_0p3_noise0p25_s13_a0p2_b0p7,101,drift,0.3,0.25,13,0.2,1.0083333333333333,0.4083333333333333,0.6656079948715157,0.0208333333333333,0.7
full_seed101_drift_0p3_noise0p25_s13_a0p3_b0p8,101,drift,0.3,0.25,13,0.3,1.0083333333333333,0.4083333333333333,0.6656079948715157,0.0208333333333333,0.8
full_seed101_drift_0p3_noise0p25_s5_a0p2_b0p7,101,drift,0.3,0.25,5,0.2,1.0,0.8208333333333333,0.8075129654928387,0.0,0.7
full_seed101_drift_0p3_noise0p25_s5_a0p3_b0p8,101,drift,0.3,0.25,5,0.3,1.0,0.8208333333333333,0.8075129654928387,0.0,0.8
full_seed101_drift_0p3_noise0p25_s9_a0p2_b0p7,101,drift,0.3,0.25,9,0.2,1.0,0.7833333333333333,0.7509119355893745,0.0,0.7
full_seed101_drift_0p3_noise0p25_s9_a0p3_b0p8,101,drift,0.3,0.25,9,0.3,1.0,0.7833333333333333,0.7509119355893745,0.0,0.8
full_seed101_drift_0p3_noise0p5_s13_a0p2_b0p7,101,drift,0.3,0.5,13,0.2,1.1458333333333333,0.3083333333333333,0.6412115915330617,0.175,0.7
full_seed101_drift_0p3_noise0p5_s13_a0p3_b0p8,101,drift,0.3,0.5,13,0.3,1.1458333333333333,0.3083333333333333,0.6412115915330617,0.175,0.8
full_seed101_drift_0p3_noise0p5_s5_a0p2_b0p7,101,drift,0.3,0.5,5,0.2,1.0083333333333333,0.7708333333333334,0.7671217630685272,0.0083333333333333,0.7
full_seed101_drift_0p3_noise0p5_s5_a0p3_b0p8,101,drift,0.3,0.5,5,0.3,1.0083333333333333,0.7708333333333334,0.7671217630685272,0.0083333333333333,0.8
full_seed101_drift_0p3_noise0p5_s9_a0p2_b0p7,101,drift,0.3,0.5,9,0.2,1.0666666666666669,0.6666666666666666,0.7229474668826893,0.0708333333333333,0.7
