attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
mixed,0.1,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5954340990153861,1.6673716882515321,1.5373811093296794,2.341324883728633,2.5861718092366206,1.0743827160493826,0.5333349335232813
mixed,0.1,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5068996540041015,1.570216849666196,1.3902757871366538,2.261417463080848,2.6095006948235384,0.0,1.0
mixed,0.1,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.472064673545418,1.5349042381412343,1.3630424861638988,2.1727292232395388,2.589719974361018,0.0,1.0
mixed,0.1,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.582874948258343,1.65617637111686,1.4844504379801953,2.3517231337883553,2.619416684212366,0.0,1.0
mixed,0.1,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4715247398292182,1.529154058269896,1.3660966985340055,2.1352753635622994,2.487927907826332,0.0,1.0
mixed,0.2,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.539042921243318,1.6049292385668894,1.4307546764697123,2.2510908299002073,2.5046572110610605,0.0,1.0
mixed,0.2,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.562895034742226,1.6397449593961757,1.497014941405547,2.3538714962333978,2.6253943025106503,1.1520061728395061,0.532163593551835
mixed,0.2,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.527688953155572,1.6036884294809828,1.4022500962148285,2.3993676063310043,2.770467798251482,0.0,1.0
mixed,0.2,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5515889573228723,1.656932595515436,1.3869282470398194,2.724503020358473,3.4825548336747536,0.0,1.0
mixed,0.2,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5938899574840206,1.6743146350282312,1.5018672581288934,2.401969944571786,2.664674656392373,0.0,1.0
mixed,0.2,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5488505605286582,1.6511743449498666,1.39130063454955,2.674266778042402,3.369926149679896,0.0,1.0
mixed,0.3,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6155559546420646,1.7289580247501253,1.431964865092853,2.8253364681926096,3.5709493479217294,0.0,1.0
mixed,0.3,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6230783838801965,1.743149917660585,1.5092291771894635,2.6901513398103503,3.4600158373758343,1.2242283950617283,0.5277139117862656
mixed,0.3,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5669067682232867,1.6689511064442486,1.4029737271603917,2.6576953002315187,3.430039695465897,0.0,1.0
mixed,0.3,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.620796976416922,1.768059868128004,1.3959530365883606,3.217200230309206,4.3876016389918036,0.0,1.0
mixed,0.3,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5969296496393979,1.6848530842437734,1.4817155116878178,2.451629279702825,2.8058205390941544,0.0,1.0
mixed,0.3,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6226875642643206,1.7664736927322375,1.3979758754863265,3.1867242490344663,4.3061454567814454,0.0,1.0
mixed,0.4,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6710185879208967,1.8207639091042125,1.4482942535758039,3.2648014331591857,4.350360525678612,0.0,1.0
mixed,0.4,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7020079456215527,1.8380110010515602,1.5472464111022395,2.9264715233931526,4.149467039550841,1.1337962962962964,0.5313753045288351
mixed,0.4,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.629271851159359,1.7691107601498215,1.4150228282796542,3.1208420376765997,4.260177412963013,0.0,1.0
mixed,0.4,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6500873815796613,1.8216721617512432,1.4069967845129316,3.473005216383456,4.868670770225467,0.0,1.0
mixed,0.4,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6084922051295398,1.7040866321643233,1.4889205705017656,2.494053586936696,2.9211659434813764,0.0,1.0
mixed,0.4,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.654394054664074,1.8249730337412133,1.4131151592145497,3.461416063240164,4.823903244672362,0.0,1.0
replay,0.0,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5167091613174692,1.5749709733340298,1.4031908249644205,2.177884505999744,2.378718829485556,0.0,1.0
replay,0.0,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.606579391609211,1.6801997503496158,1.5368600265228805,2.3405933502544753,2.572021618562354,1.0239197530864197,0.5346690363491322
replay,0.0,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5055047030231845,1.5696630017338307,1.3856518620044596,2.261319333582599,2.5928041467653817,0.0,1.0
replay,0.0,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4444259462255238,1.4908385851158745,1.3474679840612556,2.0223981102851605,2.1983511484575198,0.0,1.0
replay,0.0,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5784847036315741,1.6514589038501226,1.4703870162085872,2.347073763943246,2.601161626559418,0.0,1.0
replay,0.0,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4512606355045279,1.4986154617188123,1.3512922027579792,2.0359384359448196,2.22432909837423,0.0,1.0
replay,0.1,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5152866124390274,1.5733770413802206,1.4038429020770136,2.175278680027662,2.3813028645198635,0.0,1.0
replay,0.1,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6057148863894175,1.6794455492531624,1.538822853650293,2.3413407128581585,2.567883188659056,1.0138888888888888,0.5350394983021916
replay,0.1,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5038323884192375,1.5676611943742227,1.3865134763009144,2.2529132596348456,2.599379032243238,0.0,1.0
replay,0.1,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4435272900954035,1.4898690947276916,1.3486181123594772,2.018494360061913,2.206922260108708,0.0,1.0
replay,0.1,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5756586688085132,1.6483268923523473,1.4701913710624817,2.3427628110176677,2.6054557777354765,0.0,1.0
replay,0.1,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4503205589499475,1.4975992710146628,1.3538088140885065,2.034162340422245,2.231991321113993,0.0,1.0
replay,0.2,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5131140272711396,1.5711059743550366,1.4193065640505211,2.176261971845994,2.3753006781858215,0.0,1.0
replay,0.2,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6040850174936911,1.6783306604578432,1.5460378072549628,2.345924095194966,2.5629569864277633,1.0087962962962964,0.5350773731523083
replay,0.2,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5023969179421943,1.5662848139007177,1.398728863863264,2.2618082040319085,2.5937722943411026,0.0,1.0
replay,0.2,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4413791912378129,1.4874522000413588,1.3568808258999254,2.017659162497542,2.2041326123135456,0.0,1.0
replay,0.2,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5721061942727363,1.6446357994584972,1.4818804199474644,2.342551653249919,2.601387000569989,0.0,1.0
replay,0.2,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4481374798928595,1.495127127712035,1.3623724782649849,2.032225871908945,2.2295363340757897,0.0,1.0
replay,0.3,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.511602373656059,1.569166121461434,1.4218543154891619,2.175170255128277,2.380724980252322,0.0,1.0
replay,0.3,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6028933542158288,1.6765729003868577,1.5478317788389953,2.3426470647569433,2.5604569520471574,1.0152777777777777,0.5350060543789693
replay,0.3,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4993504465646441,1.5618184689720327,1.40677337618195,2.2520128668015653,2.584145124824422,0.0,1.0
