scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,hampel_filter_then_mean,1.1117287807660887,1.1630593796019661,1.015551528292069,1.7119502630076806,2.3678995551651876,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,direct_owa,0.9829427622510658,1.0251603765863049,0.9138712490469547,1.4551103387807642,1.5824567370416025,0.0,1.0
full_seed11_bias_0p0_noise0p25_s13_a0p2_b0p7,11,bias,0.0,0.25,13,0.2,0.7,fpr_owa,1.2367405563130776,1.297539105837257,1.231759497280631,1.7918660933805397,1.9569972867118044,0.9625,0.536039994168131
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,mean,1.7451927384026562,1.809557409659631,1.6783131763803931,2.4664007486149733,2.707678358377001,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,median,1.7754483207398368,1.8485469223369706,1.7137105336871423,2.607850686789563,2.8498984977515147,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,trimmed_mean,1.7451927384026562,1.809557409659631,1.6783131763803927,2.4664007486149733,2.707678358377001,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,hampel_filter_then_mean,1.7606544521453718,1.8308875322995546,1.6962704807738056,2.593651748289748,2.978947386737961,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,direct_owa,1.8281073456744172,1.894180670022728,1.74569736555971,2.6010187263017106,2.8274789679800976,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p3_b0p8,11,bias,0.0,0.5,5,0.3,0.8,fpr_owa,1.791824928608006,1.8768639392481838,1.7385226185681226,2.7228923880791,3.101963578061354,0.6791666666666667,0.5449012459449352
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,mean,1.7451927384026562,1.809557409659631,1.6783131763803931,2.4664007486149733,2.707678358377001,0.0,1.0
