scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,ticks,llm_calls,llm_failures,llm_invocation_rate,llm_failure_rate,verifier_calls,mean_loop_latency_ms,p95_loop_latency_ms,p99_loop_latency_ms,mean_llm_latency_seconds,p95_llm_latency_seconds,unsafe_actions_proposed,unsafe_actions_blocked_by_verifier,unsafe_actions_executed,safe_actions_accepted,deterministic_safe_actions,thermal_sla_violation_rate,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,deadline_ms,deadline_miss_rate
realtime_seed42_spike_0p2_noise0p25_s9_a0p3_b0p8,42,spike,0.2,0.25,9,0.3,0.8,240,227,0,0.9458333333333333,0.0,467,6630.388223278957,7444.85410717316,7577.956592685076,7.009698299709544,7.451437274017371,227,227,0,0,0,0.0,1.6743648468812207,1.735642796876394,1.6011247173137466,2.432410690338058,2.6370559037383408,100,0.9458333333333333
realtime_seed42_spike_0p2_noise0p25_s9_a0p3_b0p8,42,spike,0.2,0.25,9,0.3,0.8,240,227,0,0.9458333333333333,0.0,467,6630.388223278957,7444.85410717316,7577.956592685076,7.009698299709544,7.451437274017371,227,227,0,0,0,0.0,1.6743648468812207,1.735642796876394,1.6011247173137466,2.432410690338058,2.6370559037383408,250,0.9458333333333333
realtime_seed42_spike_0p2_noise0p25_s9_a0p3_b0p8,42,spike,0.2,0.25,9,0.3,0.8,240,227,0,0.9458333333333333,0.0,467,6630.388223278957,7444.85410717316,7577.956592685076,7.009698299709544,7.451437274017371,227,227,0,0,0,0.0,1.6743648468812207,1.735642796876394,1.6011247173137466,2.432410690338058,2.6370559037383408,500,0.9458333333333333
realtime_seed42_spike_0p2_noise0p25_s9_a0p3_b0p8,42,spike,0.2,0.25,9,0.3,0.8,240,227,0,0.9458333333333333,0.0,467,6630.388223278957,7444.85410717316,7577.956592685076,7.009698299709544,7.451437274017371,227,227,0,0,0,0.0,1.6743648468812207,1.735642796876394,1.6011247173137466,2.432410690338058,2.6370559037383408,1000,0.9458333333333333
realtime_seed42_spike_0p2_noise0p25_s9_a0p3_b0p8,42,spike,0.2,0.25,9,0.3,0.8,240,227,0,0.9458333333333333,0.0,467,6630.388223278957,7444.85410717316,7577.956592685076,7.009698299709544,7.451437274017371,227,227,0,0,0,0.0,1.6743648468812207,1.735642796876394,1.6011247173137466,2.432410690338058,2.6370559037383408,5000,0.9458333333333333
realtime_seed42_spike_0p2_noise0p25_s13_a0p3_b0p8,42,spike,0.2,0.25,13,0.3,0.8,240,168,0,0.7,0.0,408,4963.280267890271,7470.056362228934,7592.164791284595,7.08992474857812,7.494658820377663,160,160,0,8,0,0.0,1.182196317933605,1.277341439913084,1.075933659455715,2.0807052266070976,2.3160698962521193,100,0.7
realtime_seed42_spike_0p2_noise0p25_s13_a0p3_b0p8,42,spike,0.2,0.25,13,0.3,0.8,240,168,0,0.7,0.0,408,4963.280267890271,7470.056362228934,7592.164791284595,7.08992474857812,7.494658820377663,160,160,0,8,0,0.0,1.182196317933605,1.277341439913084,1.075933659455715,2.0807052266070976,2.3160698962521193,250,0.7
realtime_seed42_spike_0p2_noise0p25_s13_a0p3_b0p8,42,spike,0.2,0.25,13,0.3,0.8,240,168,0,0.7,0.0,408,4963.280267890271,7470.056362228934,7592.164791284595,7.08992474857812,7.494658820377663,160,160,0,8,0,0.0,1.182196317933605,1.277341439913084,1.075933659455715,2.0807052266070976,2.3160698962521193,500,0.7
realtime_seed42_spike_0p2_noise0p25_s13_a0p3_b0p8,42,spike,0.2,0.25,13,0.3,0.8,240,168,0,0.7,0.0,408,4963.280267890271,7470.056362228934,7592.164791284595,7.08992474857812,7.494658820377663,160,160,0,8,0,0.0,1.182196317933605,1.277341439913084,1.075933659455715,2.0807052266070976,2.3160698962521193,1000,0.7
realtime_seed42_spike_0p2_noise0p25_s13_a0p3_b0p8,42,spike,0.2,0.25,13,0.3,0.8,240,168,0,0.7,0.0,408,4963.280267890271,7470.056362228934,7592.164791284595,7.08992474857812,7.494658820377663,160,160,0,8,0,0.0,1.182196317933605,1.277341439913084,1.075933659455715,2.0807052266070976,2.3160698962521193,5000,0.7
realtime_seed42_mixed_0p2_noise0p25_s9_a0p3_b0p8,42,mixed,0.2,0.25,9,0.3,0.8,240,218,0,0.9083333333333333,0.0,458,6363.10798280368,7525.5426621064535,7867.665109508669,7.0048462184789,7.552663318754639,218,218,0,0,0,0.0,1.7016407875944528,1.766250592081512,1.6201642831781293,2.4517149067381925,2.6370559037383408,100,0.9083333333333333
realtime_seed42_mixed_0p2_noise0p25_s9_a0p3_b0p8,42,mixed,0.2,0.25,9,0.3,0.8,240,218,0,0.9083333333333333,0.0,458,6363.10798280368,7525.5426621064535,7867.665109508669,7.0048462184789,7.552663318754639,218,218,0,0,0,0.0,1.7016407875944528,1.766250592081512,1.6201642831781293,2.4517149067381925,2.6370559037383408,250,0.9083333333333333
realtime_seed42_mixed_0p2_noise0p25_s9_a0p3_b0p8,42,mixed,0.2,0.25,9,0.3,0.8,240,218,0,0.9083333333333333,0.0,458,6363.10798280368,7525.5426621064535,7867.665109508669,7.0048462184789,7.552663318754639,218,218,0,0,0,0.0,1.7016407875944528,1.766250592081512,1.6201642831781293,2.4517149067381925,2.6370559037383408,500,0.9083333333333333
realtime_seed42_mixed_0p2_noise0p25_s9_a0p3_b0p8,42,mixed,0.2,0.25,9,0.3,0.8,240,218,0,0.9083333333333333,0.0,458,6363.10798280368,7525.5426621064535,7867.665109508669,7.0048462184789,7.552663318754639,218,218,0,0,0,0.0,1.7016407875944528,1.766250592081512,1.6201642831781293,2.4517149067381925,2.6370559037383408,1000,0.9083333333333333
realtime_seed42_mixed_0p2_noise0p25_s9_a0p3_b0p8,42,mixed,0.2,0.25,9,0.3,0.8,240,218,0,0.9083333333333333,0.0,458,6363.10798280368,7525.5426621064535,7867.665109508669,7.0048462184789,7.552663318754639,218,218,0,0,0,0.0,1.7016407875944528,1.766250592081512,1.6201642831781293,2.4517149067381925,2.6370559037383408,5000,0.9083333333333333
realtime_seed42_mixed_0p2_noise0p25_s13_a0p3_b0p8,42,mixed,0.2,0.25,13,0.3,0.8,240,136,0,0.5666666666666667,0.0,376,3944.3073213721314,7400.686496892013,7546.119184000418,6.960005745909738,7.473402184958104,125,125,0,11,0,0.0,1.3230616432843012,1.4257413056386081,1.1628032549821747,2.1987784047229533,2.5195373866827215,100,0.5666666666666667
realtime_seed42_mixed_0p2_noise0p25_s13_a0p3_b0p8,42,mixed,0.2,0.25,13,0.3,0.8,240,136,0,0.5666666666666667,0.0,376,3944.3073213721314,7400.686496892013,7546.119184000418,6.960005745909738,7.473402184958104,125,125,0,11,0,0.0,1.3230616432843012,1.4257413056386081,1.1628032549821747,2.1987784047229533,2.5195373866827215,250,0.5666666666666667
realtime_seed42_mixed_0p2_noise0p25_s13_a0p3_b0p8,42,mixed,0.2,0.25,13,0.3,0.8,240,136,0,0.5666666666666667,0.0,376,3944.3073213721314,7400.686496892013,7546.119184000418,6.960005745909738,7.473402184958104,125,125,0,11,0,0.0,1.3230616432843012,1.4257413056386081,1.1628032549821747,2.1987784047229533,2.5195373866827215,500,0.5666666666666667
realtime_seed42_mixed_0p2_noise0p25_s13_a0p3_b0p8,42,mixed,0.2,0.25,13,0.3,0.8,240,136,0,0.5666666666666667,0.0,376,3944.3073213721314,7400.686496892013,7546.119184000418,6.960005745909738,7.473402184958104,125,125,0,11,0,0.0,1.3230616432843012,1.4257413056386081,1.1628032549821747,2.1987784047229533,2.5195373866827215,1000,0.5666666666666667
realtime_seed42_mixed_0p2_noise0p25_s13_a0p3_b0p8,42,mixed,0.2,0.25,13,0.3,0.8,240,136,0,0.5666666666666667,0.0,376,3944.3073213721314,7400.686496892013,7546.119184000418,6.960005745909738,7.473402184958104,125,125,0,11,0,0.0,1.3230616432843012,1.4257413056386081,1.1628032549821747,2.1987784047229533,2.5195373866827215,5000,0.5666666666666667
realtime_seed42_bias_0p4_noise0p25_s9_a0p3_b0p8,42,bias,0.4,0.25,9,0.3,0.8,240,147,0,0.6125,0.0,387,4184.815103963289,7299.012753705028,7430.758224136661,6.831852074387819,7.3602467985823745,142,142,0,5,0,0.0,1.9623300289149757,2.059186234116698,1.9251201010377446,2.8302559515174237,4.267086917439823,100,0.6125
realtime_seed42_bias_0p4_noise0p25_s9_a0p3_b0p8,42,bias,0.4,0.25,9,0.3,0.8,240,147,0,0.6125,0.0,387,4184.815103963289,7299.012753705028,7430.758224136661,6.831852074387819,7.3602467985823745,142,142,0,5,0,0.0,1.9623300289149757,2.059186234116698,1.9251201010377446,2.8302559515174237,4.267086917439823,250,0.6125
realtime_seed42_bias_0p4_noise0p25_s9_a0p3_b0p8,42,bias,0.4,0.25,9,0.3,0.8,240,147,0,0.6125,0.0,387,4184.815103963289,7299.012753705028,7430.758224136661,6.831852074387819,7.3602467985823745,142,142,0,5,0,0.0,1.9623300289149757,2.059186234116698,1.9251201010377446,2.8302559515174237,4.267086917439823,500,0.6125
realtime_seed42_bias_0p4_noise0p25_s9_a0p3_b0p8,42,bias,0.4,0.25,9,0.3,0.8,240,147,0,0.6125,0.0,387,4184.815103963289,7299.012753705028,7430.758224136661,6.831852074387819,7.3602467985823745,142,142,0,5,0,0.0,1.9623300289149757,2.059186234116698,1.9251201010377446,2.8302559515174237,4.267086917439823,1000,0.6125
realtime_seed42_bias_0p4_noise0p25_s9_a0p3_b0p8,42,bias,0.4,0.25,9,0.3,0.8,240,147,0,0.6125,0.0,387,4184.815103963289,7299.012753705028,7430.758224136661,6.831852074387819,7.3602467985823745,142,142,0,5,0,0.0,1.9623300289149757,2.059186234116698,1.9251201010377446,2.8302559515174237,4.267086917439823,5000,0.6125
realtime_seed42_bias_0p4_noise0p25_s13_a0p3_b0p8,42,bias,0.4,0.25,13,0.3,0.8,240,147,0,0.6125,0.0,387,4341.177584058217,7793.945466342848,7943.049568934365,7.087107154833736,7.819041876774281,119,119,0,28,0,0.0,1.2501219017221905,1.3255150171930776,1.1129026846104064,2.0885863594246055,2.3160698962521193,100,0.6125
realtime_seed42_bias_0p4_noise0p25_s13_a0p3_b0p8,42,bias,0.4,0.25,13,0.3,0.8,240,147,0,0.6125,0.0,387,4341.177584058217,7793.945466342848,7943.049568934365,7.087107154833736,7.819041876774281,119,119,0,28,0,0.0,1.2501219017221905,1.3255150171930776,1.1129026846104064,2.0885863594246055,2.3160698962521193,250,0.6125
realtime_seed42_bias_0p4_noise0p25_s13_a0p3_b0p8,42,bias,0.4,0.25,13,0.3,0.8,240,147,0,0.6125,0.0,387,4341.177584058217,7793.945466342848,7943.049568934365,7.087107154833736,7.819041876774281,119,119,0,28,0,0.0,1.2501219017221905,1.3255150171930776,1.1129026846104064,2.0885863594246055,2.3160698962521193,500,0.6125
realtime_seed42_bias_0p4_noise0p25_s13_a0p3_b0p8,42,bias,0.4,0.25,13,0.3,0.8,240,147,0,0.6125,0.0,387,4341.177584058217,7793.945466342848,7943.049568934365,7.087107154833736,7.819041876774281,119,119,0,28,0,0.0,1.2501219017221905,1.3255150171930776,1.1129026846104064,2.0885863594246055,2.3160698962521193,1000,0.6125
realtime_seed42_bias_0p4_noise0p25_s13_a0p3_b0p8,42,bias,0.4,0.25,13,0.3,0.8,240,147,0,0.6125,0.0,387,4341.177584058217,7793.945466342848,7943.049568934365,7.087107154833736,7.819041876774281,119,119,0,28,0,0.0,1.2501219017221905,1.3255150171930776,1.1129026846104064,2.0885863594246055,2.3160698962521193,5000,0.6125
