scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,fpr_dominance_only,1.6510000990021771,1.7238166797032135,1.5628289875910788,2.4913520967871245,2.829394814547745,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,owa_only,1.5281409384612237,1.5983009598051965,1.427957249643634,2.338907278024556,2.680274570266199,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p2_b0p7,101,bias,0.0,0.5,9,0.2,full_fpr_owa,1.70044414129838,1.7783768765686923,1.641228448021633,2.5752813313069827,2.867533613785253,0.7
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,reliability_only,1.6525406156439555,1.7269381895496636,1.551088063225416,2.4768297321048944,2.923716074147293,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,fpr_dominance_only,1.6510000990021771,1.7238166797032135,1.5628289875910788,2.4913520967871245,2.829394814547745,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,owa_only,1.7209675153402195,1.783655317164893,1.6291647111640413,2.52020467131124,2.8304118051849048,0.8
full_seed101_bias_0p0_noise0p5_s9_a0p3_b0p8,101,bias,0.0,0.5,9,0.3,full_fpr_owa,1.6909088150660572,1.7716248152131142,1.5885115885765302,2.610265449817572,3.033435246204024,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,reliability_only,1.3506504368923065,1.4410606779482202,1.185351807391407,2.3001648411134377,2.5282637579619824,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,fpr_dominance_only,1.3484465694048788,1.419791955569036,1.234319399852989,2.051586178193953,2.230589435845165,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,owa_only,0.9596282262535868,1.0045054954082182,0.868263519616571,1.445791992238334,1.6118161185232847,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p2_b0p7,101,bias,0.1,0.1,13,0.2,full_fpr_owa,1.0945410120562316,1.1370475865085845,1.099567270216335,1.5976442639919715,1.7056900502596406,0.7
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,reliability_only,1.3506504368923065,1.4410606779482202,1.185351807391407,2.3001648411134377,2.5282637579619824,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,fpr_dominance_only,1.3484465694048788,1.419791955569036,1.234319399852989,2.051586178193953,2.230589435845165,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,owa_only,1.334297181684776,1.3875844889254871,1.2172233868034756,1.9393585168096596,2.1093295222682005,0.8
full_seed101_bias_0p1_noise0p1_s13_a0p3_b0p8,101,bias,0.1,0.1,13,0.3,full_fpr_owa,1.3699493307176762,1.438702433970864,1.348074613276969,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,reliability_only,1.7539392052179232,1.8262664942641995,1.6385985432286017,2.4779077474204763,2.5530687577937528,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,fpr_dominance_only,1.7534228840502477,1.825813066095832,1.6504793888359797,2.4685885144062154,2.5584466614210184,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,owa_only,1.7015608774274116,1.7663122296451002,1.5292862320756608,2.4220058568740526,2.5323365730921896,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p2_b0p7,101,bias,0.1,0.1,5,0.2,full_fpr_owa,1.767117669704048,1.8354108405671965,1.6600840900874871,2.4665471628706577,2.623309323256321,0.7
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,reliability_only,1.7539392052179232,1.8262664942641995,1.6385985432286017,2.4779077474204763,2.5530687577937528,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,fpr_dominance_only,1.7534228840502477,1.825813066095832,1.6504793888359797,2.4685885144062154,2.5584466614210184,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,owa_only,1.7956821320291083,1.8525679823421848,1.6470305560287364,2.453034888795839,2.558084720691984,0.8
full_seed101_bias_0p1_noise0p1_s5_a0p3_b0p8,101,bias,0.1,0.1,5,0.3,full_fpr_owa,1.7626268134227294,1.838567579606963,1.6659867656620362,2.496622538502625,2.5856445900776754,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,reliability_only,1.7179322278518865,1.7926971648022885,1.5760360817488617,2.4672509342315903,2.659972104898685,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,fpr_dominance_only,1.7229331172917293,1.7938669304424364,1.5925546256086511,2.4408184586189234,2.6337325659087707,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,owa_only,1.6355099831280413,1.702239434806054,1.4738381696033922,2.3460427388076552,2.518722051565908,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p2_b0p7,101,bias,0.1,0.1,9,0.2,full_fpr_owa,1.7131557465842207,1.7607889024167125,1.6216881717871552,2.3895547005391755,2.6068524826656265,0.7
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,reliability_only,1.7179322278518865,1.7926971648022885,1.5760360817488617,2.4672509342315903,2.659972104898685,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,fpr_dominance_only,1.7229331172917293,1.7938669304424364,1.5925546256086511,2.4408184586189234,2.6337325659087707,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,owa_only,1.7777679867191134,1.8364422375082927,1.6487512108257163,2.4385606008209453,2.607023575977549,0.8
full_seed101_bias_0p1_noise0p1_s9_a0p3_b0p8,101,bias,0.1,0.1,9,0.3,full_fpr_owa,1.744239095612078,1.810534899220776,1.6160641797705488,2.4780983731805595,2.539427961443164,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,reliability_only,1.3030857124088564,1.3847587195630615,1.1846737933165008,2.149496915354684,2.509543938709161,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,fpr_dominance_only,1.3097968888547915,1.384000574146851,1.2074166225629896,2.0338202956822813,2.2490649315319917,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,owa_only,0.9872247002521038,1.0325089162800631,0.9031162328875824,1.5008022748633623,1.6666138442079341,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p2_b0p7,101,bias,0.1,0.25,13,0.2,full_fpr_owa,1.1343706720046853,1.184962124752771,1.1262025979673023,1.7523445681307501,1.93807001433504,0.7
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,reliability_only,1.3030857124088564,1.3847587195630615,1.1846737933165008,2.149496915354684,2.509543938709161,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,fpr_dominance_only,1.3097968888547915,1.384000574146851,1.2074166225629896,2.0338202956822813,2.2490649315319917,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,owa_only,1.3478742278159876,1.4013744285144631,1.237206802527991,1.979440677899748,2.172632314665721,0.8
full_seed101_bias_0p1_noise0p25_s13_a0p3_b0p8,101,bias,0.1,0.25,13,0.3,full_fpr_owa,1.3606577430636164,1.4449374455091757,1.3149504072830376,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,reliability_only,1.7290104578112504,1.800354960617562,1.608680453285516,2.527912716513662,2.82624938407154,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,fpr_dominance_only,1.7294938191039624,1.8025756515913651,1.616954287375434,2.5343792787486508,2.772539362137452,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,owa_only,1.6793782928468477,1.7449539205896951,1.5255182703776842,2.4230051817228992,2.675460637899026,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p2_b0p7,101,bias,0.1,0.25,5,0.2,full_fpr_owa,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,reliability_only,1.7290104578112504,1.800354960617562,1.608680453285516,2.527912716513662,2.82624938407154,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,fpr_dominance_only,1.7294938191039624,1.8025756515913651,1.616954287375434,2.5343792787486508,2.772539362137452,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,owa_only,1.7795389076677386,1.8390529482781404,1.65413834982538,2.509154904728353,2.7485422634561543,0.8
full_seed101_bias_0p1_noise0p25_s5_a0p3_b0p8,101,bias,0.1,0.25,5,0.3,full_fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,reliability_only,1.702668103363033,1.7714828349859677,1.5662862531439812,2.460209200826089,2.716643483909557,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,fpr_dominance_only,1.7120900827676528,1.7790052674028811,1.5927494606196153,2.4521079107749197,2.685533015560247,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,owa_only,1.61197033825378,1.6775493871551475,1.4834750074738037,2.3539760157933736,2.5482039936659917,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p2_b0p7,101,bias,0.1,0.25,9,0.2,full_fpr_owa,1.6879290218740823,1.7475129365778548,1.5943346499091637,2.4117367443511935,2.5823984057279774,0.7
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,reliability_only,1.702668103363033,1.7714828349859677,1.5662862531439812,2.460209200826089,2.716643483909557,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,fpr_dominance_only,1.7120900827676528,1.7790052674028811,1.5927494606196153,2.4521079107749197,2.685533015560247,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,owa_only,1.7695414351882912,1.8286393945417971,1.6295499007777323,2.4766222207206696,2.717553873798651,0.8
full_seed101_bias_0p1_noise0p25_s9_a0p3_b0p8,101,bias,0.1,0.25,9,0.3,full_fpr_owa,1.725427253212176,1.7956921250954652,1.611748537758249,2.453655764154209,2.671886585904733,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,reliability_only,1.2401491498499473,1.31898971386813,1.1733622619224064,2.0476406154355344,2.504026069847657,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,fpr_dominance_only,1.2501958653997296,1.3283285292948883,1.2081245903821405,2.042086405548714,2.467895240106229,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,owa_only,0.9996771572161818,1.0591679407577352,0.961851113246552,1.6693322093048448,1.946082714383139,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p2_b0p7,101,bias,0.1,0.5,13,0.2,full_fpr_owa,1.2072584099527315,1.273721972248634,1.1649007589047207,1.8874874349884894,2.221630566581403,0.7
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,reliability_only,1.2401491498499473,1.31898971386813,1.1733622619224064,2.0476406154355344,2.504026069847657,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,fpr_dominance_only,1.2501958653997296,1.3283285292948883,1.2081245903821405,2.042086405548714,2.467895240106229,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,owa_only,1.3577890037045663,1.4189286677394757,1.288163929264052,2.112193019716743,2.329256505151979,0.8
full_seed101_bias_0p1_noise0p5_s13_a0p3_b0p8,101,bias,0.1,0.5,13,0.3,full_fpr_owa,1.325444308251786,1.4215220887269708,1.2768421337661944,2.1780102585617818,2.4987166291150835,0.8
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,reliability_only,1.7025583056789222,1.789171637087848,1.6150167581173536,2.6302732008627965,3.1924730780130703,0.7
full_seed101_bias_0p1_noise0p5_s5_a0p2_b0p7,101,bias,0.1,0.5,5,0.2,fpr_dominance_only,1.701933229295012,1.7911538871028485,1.6227318223961102,2.669938143592128,3.095625337612136,0.7
