file,variant,ticks,mae_c,precision,recall,true_positive_reporter_ticks,false_positive_reporter_ticks,false_negative_reporter_ticks,true_negative_reporter_ticks,false_alarm_transition_ticks,nonconverged_ticks,reporter_exclusions,total_rounds
seed11_12_scaling_high_fpr_crp.ticks.csv,temporal_only,240,0.09577410257715058,,0.0,0,0,180,1980,0,58,6,242
seed11_12_scaling_high_fpr_crp.ticks.csv,social_only,240,0.0797051532595343,1.0,0.9666666666666667,174,0,6,1980,0,0,173,300
seed11_12_scaling_high_fpr_crp.ticks.csv,published_blend,240,0.09577410257715058,,0.0,0,0,180,1980,0,58,6,242
seed11_12_scaling_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07993839770591252,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_13_stuck_low_fpr_crp.ticks.csv,temporal_only,240,0.07701041709557882,,0.0,0,0,180,1980,0,14,0,240
seed11_13_stuck_low_fpr_crp.ticks.csv,social_only,240,0.07701041709557882,,0.0,0,0,180,1980,0,14,0,240
seed11_13_stuck_low_fpr_crp.ticks.csv,published_blend,240,0.07701041709557882,,0.0,0,0,180,1980,0,14,0,240
seed11_13_stuck_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07587574175350696,1.0,0.05,9,0,171,1980,0,7,21,247
seed11_14_stuck_high_fpr_crp.ticks.csv,temporal_only,240,0.12714486901367042,0.42857142857142855,0.016666666666666666,3,4,177,1976,0,57,9,243
seed11_14_stuck_high_fpr_crp.ticks.csv,social_only,240,0.08101292734903283,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed11_14_stuck_high_fpr_crp.ticks.csv,published_blend,240,0.12682665038729282,1.0,0.03333333333333333,6,0,174,1980,0,56,12,244
seed11_14_stuck_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08101292734903283,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_00_nominal_none_fpr_crp.ticks.csv,temporal_only,240,0.07149546435929627,,,0,0,0,2160,0,0,0,240
seed42_00_nominal_none_fpr_crp.ticks.csv,social_only,240,0.07149546435929627,,,0,0,0,2160,0,0,0,240
seed42_00_nominal_none_fpr_crp.ticks.csv,published_blend,240,0.07149546435929627,,,0,0,0,2160,0,0,0,240
seed42_00_nominal_none_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07149546435929627,,,0,0,0,2160,0,0,0,240
seed42_01_bias_low_fpr_crp.ticks.csv,temporal_only,240,0.07487945825582162,,0.0,0,0,180,1980,0,0,0,240
seed42_01_bias_low_fpr_crp.ticks.csv,social_only,240,0.07487945825582162,,0.0,0,0,180,1980,0,0,0,240
seed42_01_bias_low_fpr_crp.ticks.csv,published_blend,240,0.07487945825582162,,0.0,0,0,180,1980,0,0,0,240
seed42_01_bias_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07487945825582162,,0.0,0,0,180,1980,0,0,0,240
seed42_02_bias_high_fpr_crp.ticks.csv,temporal_only,240,0.09384707274040661,,0.0,0,0,180,1980,0,58,6,242
seed42_02_bias_high_fpr_crp.ticks.csv,social_only,240,0.08407908403140184,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_02_bias_high_fpr_crp.ticks.csv,published_blend,240,0.09449105165062695,1.0,0.03333333333333333,6,0,174,1980,0,56,10,244
seed42_02_bias_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08407908403140184,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_03_drift_low_fpr_crp.ticks.csv,temporal_only,240,0.0825087018418593,,0.0,0,0,180,1980,0,0,0,240
seed42_03_drift_low_fpr_crp.ticks.csv,social_only,240,0.0825087018418593,,0.0,0,0,180,1980,0,0,0,240
seed42_03_drift_low_fpr_crp.ticks.csv,published_blend,240,0.0825087018418593,,0.0,0,0,180,1980,0,0,0,240
seed42_03_drift_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.0825087018418593,,0.0,0,0,180,1980,0,0,0,240
seed42_04_drift_high_fpr_crp.ticks.csv,temporal_only,240,0.09232513908276448,,0.0,0,0,180,1980,0,24,0,240
seed42_04_drift_high_fpr_crp.ticks.csv,social_only,240,0.08669221280434244,1.0,0.29444444444444445,53,0,127,1980,0,3,54,261
seed42_04_drift_high_fpr_crp.ticks.csv,published_blend,240,0.09193949396819702,,0.0,0,0,180,1980,0,24,1,241
